codes,https://huggingface.co/datasets/cis-lmu/GlotCC-V1,comment (https://iso639-3.sil.org/code/prs)
aau-Latn,20/20,
aaz-Latn,15/15,non-bible and bible
abi-Latn,0/1,out of model cousin -- kpo
abk-Cyrl,20/20,
abq-Cyrl,15/15,moslty https://abaza.org/abq
abs-Latn,?,out of model cousin -- mkn  | the rest is lyrics
abt-Latn,6/6,
abx-Latn,3/3,
aby-Latn,1/1,
ace-Arab,1/1,
ace-Latn,0/1,malay in arabic script
acf-Latn,5/6,"list of words end with ""ppy"" from https://anagrams.app/"
ach-Latn,10/10,
acm-Arab,0/1,"misclassification, true label: msa_Arab or zsm_Arab"
acn-Latn,1/1,
acr-Latn,3/3,
acu-Latn,20/20,
ada-Latn,3/3,
adi-Latn,12/12,
adj-Latn,5/5,
ady-Cyrl,20/20,mostly http://www.adyglife.com & https://www.circassianpress.com & https://dunai.adigeatoday.ru/ 
adz-Latn,6/6,
aeb-Arab,?,"It's moslty pages with the word ""Tunis"". But many of them comes also from pages with "".tn"" as domain"
aer-Latn,1/1,
aey-Latn,2/2,
afr-Latn,20/20,
agd-Latn,20/20,
agm-Latn,11/11,
agn-Latn,2/2,bible-related
agr-Latn,17/17,udhr & bible
agt-Latn,2/2,
agu-Latn,1/1,
agw-Latn,1/1,
aii-Syrc,20/20,https://reimagine.today
aim-Latn,2/2,
ain-Latn,2/2,
ajg-Latn,0/5,out-of-model-cousin; change the name to sxw: https://saxwe.net/
ajp-Arab,?,ajp code is deprecated. join to apc.
ajz-Latn,2/2,
akb-Latn,17/20,out of model cousin from btm 
akh-Latn,2/2,
aln-Latn,,
alp-Latn,4/4,
alq-Latn,1/1,
als-Latn,,
alt-Cyrl,,
aly-Latn,,
ame-Latn,0/1,list case 4epoch 
amf-Latn,15/15,
amh-Ethi,,
ami-Latn,,
amm-Latn,1/1,
amp-Latn,0/2,list noise starts with yikv and yifoa
amu-Latn,8/8,
ang-Latn,,
ann-Latn,,
anp-Deva,,
any-Latn,1/1,
aoi-Latn,,
aoj-Latn,,
aom-Latn,7/7,
aoz-Latn,2/4,out-of-model cousin bkx; https://www.globalrecordings.net/es/script/bkx/395
apb-Latn,,
apc-Arab,,
ape-Latn,7/8,incorrect from aon -- out of model cousin -- but we know aon was too much close to ape
apr-Latn,4/4,
apt-Latn,,
apw-Latn,0/1,repeated ngram of  ííííííjjjjjj
apz-Latn,,
arb-Arab,,
arb-Latn,,
arg-Latn,,
arl-Latn,,
arn-Latn,,
arq-Arab,2/3,
ars-Arab,,
ary-Arab,,
arz-Arab,,
asm-Beng,,
asm-Latn,,
aso-Latn,4/4,
ast-Latn,,
ata-Latn,,
atb-Latn,9/9,
atd-Latn,1/1,
atj-Latn,,
atq-Latn,1/1,
att-Latn,23/23,
aui-Latn,4/4,
auy-Latn,1/1,
ava-Cyrl,,
avk-Latn,,
avt-Latn,34/34,
avu-Latn,7/7,
awa-Deva,,
awx-Latn,,
ayr-Latn,,
azb-Arab,,
azg-Latn,12/12,
azj-Cyrl,,
azj-Latn,20/20,
azz-Latn,0/2,list case noise tat...
bak-Cyrl,20/20,
bam-Latn,,
ban-Latn,,
bar-Latn,,
bas-Latn,2/2,
bba-Latn,,
bbb-Latn,8/8,
bbc-Latn,,
bbr-Latn,13/13,
bcc-Arab,20/20,change the name to bal-Arab; it has other cousins. This is also a great resource for bgp: https://incubator.m.wikimedia.org/wiki/Special:PrefixIndex/Wp/bgp/
bch-Latn,,
bci-Latn,18/18,
bcl-Latn,,
bdd-Latn,8/8,
bdh-Latn,2/2,
bdq-Latn,,
bef-Latn,1/1,
bel-Cyrl,,
bem-Latn,,
ben-Beng,,
ben-Latn,,
bew-Latn,,
bgr-Latn,6/6,
bgs-Latn,6/6,
bgz-Latn,1/1,
bhg-Latn,12/14,repeated ngrams: remove https://tenymalagasy.org/ and https://malagasyword.org
bhl-Latn,4/4,
bho-Deva,,
bhw-Latn,2/2,
big-Latn,4/4,
bim-Latn,,
bin-Latn,,
bis-Latn,,
biu-Latn,1/1,
bjn-Arab,,
bjn-Latn,,
bjp-Latn,,
bjr-Latn,5/5,
bjv-Latn,0/3,out of model cousin for: mge
bkd-Latn,18/18,
bkl-Latn,1/1,
blk-Mymr,20/20,
blw-Latn,4/4,
blz-Latn,3/3,
bmh-Latn,11/11,
bmu-Latn,20/20,
bno-Latn,2/2,
bnp-Latn,13/13,
boa-Latn,20/20,
bod-Tibt,,
boj-Latn,2/2,
bom-Latn,1/1,
bon-Latn,,
bos-Latn,,
bpr-Latn,1/1,
bps-Latn,,
bpy-Beng,,
bqc-Latn,2/2,
bqj-Latn,1/1,
bre-Latn,,
brh-Arab,20/20,
bru-Latn,,
brx-Deva,,
brx-Latn,0/1,phba repated word
bsp-Latn,,
btd-Latn,3/3,
bts-Latn,,
btx-Latn,,
bug-Latn,,
buk-Latn,13/13,
bul-Cyrl,,
bum-Latn,,
bus-Latn,,
bvr-Latn,9/9,
bwd-Latn,1/1,
bxh-Latn,,
bxr-Cyrl,,
byr-Latn,20/20,
bzd-Latn,2/2,
bzi-Thai,2/2,
bzj-Latn,3/3,
caa-Latn,7/7,
cab-Latn,,
cac-Latn,10/11,start with tzyu
cag-Latn,1/1,
cak-Latn,,
cao-Latn,15/15,
car-Latn,13/13,
cat-Latn,,
cax-Latn,3/3,
cbi-Latn,1/1,
cbk-Latn,,
cbr-Latn,,
cbs-Latn,1/1,
cbt-Latn,,
cbu-Latn,,
ccp-Latn,,
ceb-Latn,,
ces-Latn,,
cfm-Latn,,
cgc-Latn,10/12,noise from month names
cha-Latn,3/3,
chd-Latn,19/19,
che-Cyrl,,
chk-Latn,,
cho-Latn,4/4,
chu-Cyrl,,
chv-Cyrl,,
chw-Latn,2/3,reoeated ddddddddddddddddddddddddddddddddddddd
cjk-Latn,,
cjv-Latn,20/20,
ckb-Arab,,
ckm-Latn,,
ckt-Cyrl,,
clu-Latn,8/8,
cmn-Hani,20/20,
cmo-Latn,,
cmr-Latn,,
cnh-Latn,,
cni-Latn,20/20,
cnk-Latn,,
cnr-Latn,,
cnw-Latn,1/1,
con-Latn,1/1,
cop-Copt,,
cor-Latn,,
cos-Latn,,
cot-Latn,11/11,
cpb-Latn,1/1,
cpc-Latn,20/20,
cpy-Latn,14/14,
crh-Cyrl,,
crh-Latn,,
cri-Latn,0/3,noise
crk-Cans,2/2,
crk-Latn,,
crl-Cans,2/2,
crn-Latn,13/13,
crs-Latn,,
crx-Latn,4/4,
csb-Latn,,
csw-Latn,6/6,
csy-Latn,,
cta-Latn,3/3,
ctd-Latn,,
ctu-Latn,2/2,
cub-Latn,5/5,
cuk-Latn,,
cut-Latn,18/18,
cwe-Latn,1/1,
cwt-Latn,2/2,
cya-Latn,4/4,
cym-Latn,,
czt-Latn,4/4,
dad-Latn,20/20,
